meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
ISL 2020 Season - Semifinal 1,57.13,14/11/2020,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,873,Budapest,HUN
ISL 2020 Season - Match 10,57.21,09/11/2020,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,869,Budapest,HUN
FINA Swimming World Cup 2018,57.38,04/11/2018,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,862,Beijing,CHN
FINA/airweave Swimming World Cup 2017,57.56,03/08/2017,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,853,Moscow,RUS
FINA/airweave Swimming World Cup 2017,57.64,03/08/2017,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,850,Moscow,RUS
FINA Swimming World Cup 2018,57.79,11/11/2018,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,843,Tokyo,JPN
FINA Swimming World Cup 2018,58.08,04/11/2018,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,831,Beijing,CHN
FINA Swimming World Cup 2018,58.90,11/11/2018,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,797,Tokyo,JPN
13th FINA World Swimming Championships (25m) 2016,01:02.90,10/12/2016,Women 100 Butterfly SCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,9,9,654,Windsor,CAN
7th FINA World Swimming Championships (25m) 2004,01:08.46,07/10/2004,Women 100 Butterfly SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,10,10,,Indianapolis,USA
