meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/airweave Swimming World Cup 2016,56.16,27/08/2016,Women 100 Freestyle SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,749,Paris-Chartres,FRA
7th FINA World Swimming Championships (25m) 2004,57.07,08/10/2004,Women 100 Freestyle SCM Female,JAM,Jamaica,"CHUCK, Angela",F,14/02/1981,,,2,2,,Indianapolis,USA
13th FINA World Swimming Championships (25m) 2016,57.18,07/12/2016,Women 100 Freestyle SCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,3,3,705,Windsor,CAN
FINA Swimming World Cup 2018,57.51,17/11/2018,Women 100 Freestyle SCM Female,JAM,Jamaica,"ROMAN, Breanna Marie Laurin",F,25/10/1995,,,4,4,667,Singapore,SGP
FINA/airweave Swimming World Cup 2016,58.92,31/08/2016,Women 100 Freestyle SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,648,Berlin,GER
7th FINA World Swimming Championships (25m) 2004,59.24,08/10/2004,Women 100 Freestyle SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,,Indianapolis,USA
7th FINA World Swimming Championships (25m) 2004,59.98,11/10/2004,Women 100 Freestyle SCM Female,JAM,Jamaica,"CHUCK, Angela",F,14/02/1981,,,7,7,,Indianapolis,USA
13th FINA World Swimming Championships (25m) 2016,01:00.13,06/12/2016,Women 100 Freestyle SCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,8,8,606,Windsor,CAN
10th FINA World Swimming Championships (25m) 2010,01:00.30,19/12/2010,Women 100 Freestyle SCM Female,JAM,Jamaica,"HO, Victoria",F,26/06/1993,,,9,9,605,Dubai,UAE
10th FINA World Swimming Championships (25m) 2010,01:03.22,17/12/2010,Women 100 Freestyle SCM Female,JAM,Jamaica,"HO, Victoria",F,26/06/1993,,,10,10,525,Dubai,UAE
10th FINA World Swimming Championships (25m) 2010,01:03.49,16/12/2010,Women 100 Freestyle SCM Female,JAM,Jamaica,"HO, Victoria",F,26/06/1993,,,11,11,518,Dubai,UAE
7th FINA World Swimming Championships (25m) 2004,01:04.39,11/10/2004,Women 100 Freestyle SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,12,12,,Indianapolis,USA
