meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
14th Pan American Games 2003,03:53.58,14/08/2003,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,1,1,,Santo Domingo,DOM
17th Pan American Games 2015,03:56.01,14/07/2015,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,2,2,714,Toronto,CAN
17th Commonwealth Games 2002,03:56.54,03/08/2002,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,3,3,,Manchester,GBR
17th Pan American Games 2015,03:59.09,14/07/2015,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,4,4,687,Toronto,CAN
7th FINA World Junior Swimming Championships 2019,04:00.09,24/08/2019,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,5,5,669,Budapest,HUN
34th CARIFTA Swimming Championships 2019,04:01.60,20/04/2019,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,6,6,657,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:07.61,30/06/2019,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,7,7,610,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,04:07.84,20/04/2019,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,8,8,608,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:26.05,30/06/2019,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,9,9,492,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,04:28.98,20/04/2019,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,10,10,476,Bridgetown,BAR
Jamaican Junior National Championships (50m),05:15.59,22/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,11,11,294,Kingston,JAM
Jamaican Junior National Championships (50m),05:19.74,22/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,12,12,283,Kingston,JAM
Jamaican Junior National Championships (50m),05:51.95,21/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,13,13,212,Kingston,JAM
Jamaican Junior National Championships (50m),06:30.31,22/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,14,14,155,Kingston,JAM
Jamaican Junior National Championships (50m),06:35.05,21/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,15,15,150,Kingston,JAM
Jamaican Junior National Championships (50m),06:52.72,21/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,16,16,131,Kingston,JAM
Jamaican Junior National Championships (50m),07:00.18,21/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,17,17,124,Kingston,JAM
Jamaican Junior National Championships (50m),07:21.74,21/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,18,18,107,Kingston,JAM
Jamaican Junior National Championships (50m),08:37.57,21/02/2020,Women 4x100 Freestyle Relay LCM Female,JAM,Jamaica,", ",,,,,19,19,66,Kingston,JAM
