meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
17th Pan American Games 2015,04:14.58,18/07/2015,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,1,1,757,Toronto,CAN
17th Pan American Games 2015,04:24.18,18/07/2015,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,2,2,677,Toronto,CAN
14th Pan American Games 2003,04:30.39,16/08/2003,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,3,3,,Santo Domingo,DOM
34th CARIFTA Swimming Championships 2019,04:36.83,21/04/2019,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,4,4,585,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:38.16,02/07/2019,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,5,5,576,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,04:38.85,21/04/2019,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,6,6,572,Bridgetown,BAR
7th FINA World Junior Swimming Championships 2019,04:44.38,25/08/2019,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,7,7,539,Budapest,HUN
34th CARIFTA Swimming Championships 2019,04:49.77,21/04/2019,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,8,8,510,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:58.78,02/07/2019,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,9,9,465,Bridgetown,BAR
Jamaican Junior National Championships (50m),06:27.78,22/02/2020,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,10,10,209,Kingston,JAM
Jamaican Junior National Championships (50m),08:12.80,22/02/2020,Women 4x100 Medley Relay LCM Female,JAM,Jamaica,", ",,,,,11,11,102,Kingston,JAM
