meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
17th Commonwealth Games 2002,02:02.18,30/07/2002,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,1,1,,Manchester,GBR
ST Arena Pro Swim at Austin 2016,02:02.54,16/01/2016,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,783,Austin,USA
2014 FG Speedo Champions Series -,02:02.85,13/03/2014,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,777,Plantation,USA
Olympic Games Sydney 2000,02:03.14,17/09/2000,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,4,4,,Sydney,AUS
ST Arena Pro Swim at Austin 2016,02:03.21,16/01/2016,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,771,Austin,USA
2015 FG Speedo Sectional Championships,02:03.24,13/03/2015,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,770,Plantation,USA
14th Pan American Games 2003,02:03.27,13/08/2003,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,7,7,,Santo Domingo,DOM
Olympic Games Sydney 2000,02:03.59,17/09/2000,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,8,8,,Sydney,AUS
14th Pan American Games 2003,02:03.73,13/08/2003,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,9,9,,Santo Domingo,DOM
Olympic Games Athens 2004,02:04.06,16/08/2004,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,10,10,,Athens,GRE
14th Pan American Games 2003,02:06.52,13/08/2003,Women 200 Freestyle LCM Female,JAM,Jamaica,"CHUCK, Angela",F,14/02/1981,,,11,11,,Santo Domingo,DOM
Olympic Games Sydney 2000,02:06.75,21/09/2000,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,12,12,,Sydney,AUS
14th Pan American Games 2003,02:06.76,13/08/2003,Women 200 Freestyle LCM Female,JAM,Jamaica,"CHUCK, Angela",F,14/02/1981,,,13,13,,Santo Domingo,DOM
Olympic Games Athens 2004,02:07.94,15/08/2004,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,14,14,,Athens,GRE
19th Commonwealth Games 2010,02:08.49,04/10/2010,Women 200 Freestyle LCM Female,JAM,Jamaica,"HO, Victoria",F,26/06/1993,,,15,15,679,Delhi,IND
11th FINA World Championships 2005,02:08.62,26/07/2005,Women 200 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,16,16,,Montreal,CAN
34th CARIFTA Swimming Championships 2019,02:08.72,21/04/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"MACDONALD, Emily",F,17/07/2003,,,17,17,676,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,02:08.79,21/04/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"WILLIAMS, Britney",F,30/05/2001,,,18,18,675,Bridgetown,BAR
17th Commonwealth Games 2002,02:09.20,30/07/2002,Women 200 Freestyle LCM Female,JAM,Jamaica,"CHUCK, Angela",F,14/02/1981,,,19,19,,Manchester,GBR
32nd CCCAN Swimming Championships 2019,02:09.26,30/06/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"WILLIAMS, Britney",F,30/05/2001,,,20,20,667,Bridgetown,BAR
15th Pan American Games 2007,02:10.42,18/07/2007,Women 200 Freestyle LCM Female,JAM,Jamaica,"MOODIE, Natasha",F,08/10/1990,,,21,21,,Rio de Janeiro,BRA
34th CARIFTA Swimming Championships 2019,02:10.74,21/04/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"MACDONALD, Emily",F,17/07/2003,,,22,22,645,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,02:11.51,21/04/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"WILLIAMS, Britney",F,30/05/2001,,,23,23,634,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,02:11.54,30/06/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"WILLIAMS, Britney",F,30/05/2001,,,24,24,633,Bridgetown,BAR
12th FINA World Championships 2007,02:12.26,27/03/2007,Women 200 Freestyle LCM Female,JAM,Jamaica,"MOODIE, Natasha",F,08/10/1990,,,25,25,,Melbourne,AUS
7th FINA World Junior Swimming Championships 2019,02:12.65,25/08/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"MACDONALD, Emily",F,17/07/2003,,,26,26,617,Budapest,HUN
15th Pan American Games 2007,02:12.68,19/07/2007,Women 200 Freestyle LCM Female,JAM,Jamaica,"MOODIE, Natasha",F,08/10/1990,,,27,27,,Rio de Janeiro,BRA
XXIII Juegos CAC-Barranquilla,02:14.83,25/07/2018,Women 200 Freestyle LCM Female,JAM,Jamaica,"MACDONALD, Emily",F,17/07/2003,,,28,28,588,Barranquilla,COL
34th CARIFTA Swimming Championships 2019,02:15.27,21/04/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"COGLE, Morgan M",F,10/07/2005,,,29,29,582,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,02:15.47,21/04/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"COGLE, Morgan M",F,10/07/2005,,,30,30,580,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,02:15.72,30/06/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"COGLE, Morgan M",F,10/07/2005,,,31,31,576,Bridgetown,BAR
7th FINA World Junior Swimming Championships 2019,02:16.00,25/08/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"BANKS, Gabrianna",F,14/09/2002,,,32,32,573,Budapest,HUN
Y Speedos Swim Club Karl Dalhouse Memorial Invitational 2020,02:17.73,01/02/2020,Women 200 Freestyle LCM Female,JAM,Jamaica,"OFFICER, Safiya",F,28/07/2005,,,33,33,551,Kingston,JAM
Jamaican Junior National Championships (50m),02:19.05,22/02/2020,Women 200 Freestyle LCM Female,JAM,Jamaica,"LYN, Sabrina",F,26/04/2004,,,34,34,536,Kingston,JAM
ASATT Invitational Swimming Championships,02:20.41,13/12/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"ALVARANGA, Zaneta",F,09/12/2004,,,35,35,520,Balmain,TTO
Jamaican Junior National Championships (50m),02:21.38,22/02/2020,Women 200 Freestyle LCM Female,JAM,Jamaica,"OFFICER, Safiya",F,28/07/2005,,,36,36,510,Kingston,JAM
CCCAN Championships,02:21.74,24/06/2021,Women 200 Freestyle LCM Female,JAM,Jamaica,"WAINWRIGHT, Leanna A",F,12/05/2006,,,37,37,506,San Juan,PUR
Walter Rogers Age Group Swimming National Championships 2019,02:22.18,23/02/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"ANDERSON, Brianna",F,06/11/2002,,,38,38,501,Kingston,JAM
Walter Rogers Age Group Swimming National Championships 2019,02:22.52,23/02/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"OFFICER, Safiya",F,28/07/2005,,,39,39,498,Kingston,JAM
Jamaican Junior National Championships (50m),02:22.56,22/02/2020,Women 200 Freestyle LCM Female,JAM,Jamaica,"HUNTER, Ireland",F,15/09/2005,,,40,40,497,Kingston,JAM
Tornadoes Invitational Swim Meet,02:23.06,26/05/2019,Women 200 Freestyle LCM Female,JAM,Jamaica,"ALVARANGA, Zaneta",F,09/12/2004,,,41,41,492,Kingstown,JAM
