meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/MASTBANK Swimming World Cup 2014,27.37,29/09/2014,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,827,Hong Kong,HKG
FINA/MASTBANK Swimming World Cup 2014,27.52,31/08/2014,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,,Dubai,UAE
FINA Swimming World Cup 2013,27.76,12/10/2013,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,793,Moscow,RUS
FINA Swimming World Cup 2013,27.82,17/10/2013,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,788,Dubai,UAE
FINA/MASTBANK Swimming World Cup 2014,28.00,31/08/2014,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,,Dubai,UAE
FINA/MASTBANK Swimming World Cup 2014,28.09,29/09/2014,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,765,Hong Kong,HKG
FINA/airweave Swimming World Cup 2016,28.10,26/08/2016,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,762,Paris-Chartres,FRA
FINA/airweave Swimming World Cup 2016,28.19,08/10/2016,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,755,Doha,QAT
FINA/airweave Swimming World Cup 2016,28.23,30/09/2016,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,9,9,751,Beijing,CHN
FINA Swimming World Cup 2013,28.26,12/10/2013,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,10,10,752,Moscow,RUS
FINA/airweave Swimming World Cup 2016,28.32,08/10/2016,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,11,744,Doha,QAT
FINA/MASTBANK Swimming World Cup 2014,28.32,24/10/2014,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,12,747,Beijing,CHN
FINA Swimming World Cup 2013,28.46,17/10/2013,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,13,13,736,Dubai,UAE
FINA/airweave Swimming World Cup 2016,28.60,04/10/2016,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,14,14,723,Dubai,UAE
FINA Swimming World Cup 2013,28.95,13/11/2013,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,15,15,699,Beijing,CHN
FINA/airweave Swimming World Cup 2016,29.23,30/09/2016,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,16,16,677,Beijing,CHN
FINA Swimming World Cup 2013,29.70,20/10/2013,Women 50 Backstroke SCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,17,17,647,Doha,QAT
