meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
21st Caribbean Islands Swimming Championships 2016,03:30.61,30/06/2016,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,1,1,714,Nassau,BAH
7th FINA World Junior Swimming Championships 2019,03:39.20,20/08/2019,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,2,2,633,Budapest,HUN
32nd CCCAN Swimming Championships 2019,03:39.69,30/06/2019,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,3,3,629,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,03:40.66,20/04/2019,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,4,4,620,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,03:42.62,30/06/2019,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,5,5,604,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,03:50.95,20/04/2019,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,6,6,541,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,03:51.31,30/06/2019,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,7,7,538,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,03:54.33,20/04/2019,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,8,8,518,Bridgetown,BAR
Jamaican Junior National Championships (50m),04:38.07,22/02/2020,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,9,9,310,Kingston,JAM
Jamaican Junior National Championships (50m),05:12.36,22/02/2020,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,10,10,218,Kingston,JAM
Jamaican Junior National Championships (50m),05:59.39,22/02/2020,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,11,11,143,Kingston,JAM
Jamaican Junior National Championships (50m),06:05.33,21/02/2020,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,12,12,136,Kingston,JAM
Jamaican Junior National Championships (50m),06:16.36,21/02/2020,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,13,13,125,Kingston,JAM
Jamaican Junior National Championships (50m),07:39.40,21/02/2020,Men 4x100 Freestyle Relay LCM Male,JAM,Jamaica,", ",,,,,14,14,68,Kingston,JAM
