meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
21st Caribbean Islands Swimming Championships 2016,03:58.77,02/07/2016,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,1,1,654,Nassau,BAH
34th CARIFTA Swimming Championships 2019,04:02.69,21/04/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,2,2,623,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:04.71,02/07/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,3,3,607,Bridgetown,BAR
7th FINA World Junior Swimming Championships 2019,04:05.60,25/08/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,4,4,601,Budapest,HUN
32nd CCCAN Swimming Championships 2019,04:06.51,02/07/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,5,5,594,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:15.93,02/07/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,6,6,531,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:18.75,02/07/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,7,7,514,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,04:20.26,21/04/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,8,8,505,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,04:26.92,21/04/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,9,9,468,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:46.30,02/07/2019,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,10,10,379,Bridgetown,BAR
Jamaican Junior National Championships (50m),05:28.59,22/02/2020,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,11,11,251,Kingston,JAM
Jamaican Junior National Championships (50m),06:08.12,22/02/2020,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,12,12,178,Kingston,JAM
Jamaican Junior National Championships (50m),07:32.16,22/02/2020,Men 4x100 Medley Relay LCM Male,JAM,Jamaica,", ",,,,,13,13,96,Kingston,JAM
