meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
21st Caribbean Islands Swimming Championships 2016,02:03.05,02/07/2016,Men 200 Backstroke LCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,1,1,752,Nassau,BAH
ISCA International Senior Cup 2021,02:04.62,25/03/2021,Men 200 Backstroke LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,2,2,724,St. Petersburg,USA
5th FINA World Junior Swimming Championships 2015,02:05.08,30/08/2015,Men 200 Backstroke LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,3,3,716,Singapore,SGP
Atlanta Classic 2021,02:06.09,16/05/2021,Men 200 Backstroke LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,4,4,699,Atlanta,USA
17th Pan American Games 2015,02:07.17,15/07/2015,Men 200 Backstroke LCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,5,5,681,Toronto,CAN
17th Pan American Games 2015,02:07.78,15/07/2015,Men 200 Backstroke LCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,6,6,671,Toronto,CAN
TYR Pro Swim Series Des Moines,02:09.06,06/03/2020,Men 200 Backstroke LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,7,7,652,Des Moines,USA
20th Commonwealth Games 2014,02:09.23,28/07/2014,Men 200 Backstroke LCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,8,8,649,Glasgow,GBR
Mission Viejo Swim Meet of Champions,02:09.37,22/06/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,9,9,647,Mission Viejo,USA
TYR Pro Swim Series Des Moines,02:10.32,06/03/2020,Men 200 Backstroke LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,10,10,633,Des Moines,USA
Mission Viejo Swim Meet of Champions,02:11.04,22/06/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,11,11,623,Mission Viejo,USA
Jamaican Junior National Championships (50m),02:16.36,20/02/2020,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,12,12,552,Kingston,JAM
Y Speedos Swim Club Karl Dalhouse Memorial Invitational 2020,02:19.01,02/02/2020,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,13,13,521,Kingston,JAM
Jamaican Junior National Championships (50m),02:19.76,20/02/2020,Men 200 Backstroke LCM Male,JAM,Jamaica,"THOMAS, Nathaniel",M,16/07/2004,,,14,14,513,Kingston,JAM
Y Speedos Swim Club Karl Dalhouse Memorial Invitational Swim Meet 2019,02:20.36,27/01/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,15,15,506,Kingston,JAM
ASATT Invitational Swimming Championships,02:20.66,13/12/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,16,16,503,Balmain,TTO
34th CARIFTA Swimming Championships 2019,02:21.35,23/04/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,17,17,496,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,02:21.47,02/07/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,18,18,495,Bridgetown,BAR
Walter Rogers Age Group Swimming National Championships 2019,02:21.58,21/02/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,19,19,493,Kingston,JAM
Y Speedos Swim Club Karl Dalhouse Memorial Invitational 2020,02:23.70,02/02/2020,Men 200 Backstroke LCM Male,JAM,Jamaica,"THOMAS, Nathaniel",M,16/07/2004,,,20,20,472,Kingston,JAM
34th CARIFTA Swimming Championships 2019,02:23.84,23/04/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"THOMAS, Nathaniel",M,16/07/2004,,,21,21,471,Bridgetown,BAR
Tornadoes Invitational Swim Meet,02:24.14,25/05/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,22,22,468,Kingstown,JAM
Tornadoes Invitational Swim Meet,02:24.25,25/05/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"GYLES, Rin",M,20/02/2003,,,23,23,467,Kingstown,JAM
34th CARIFTA Swimming Championships 2019,02:24.90,23/04/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"THOMAS, Nathaniel",M,16/07/2004,,,24,24,460,Bridgetown,BAR
Neville Alexander Memorial Swim Meet 2019,02:25.24,05/05/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"SINCLAIR, Kyle",M,17/09/2002,,,25,25,457,Kingston,JAM
Walter Rogers Age Group Swimming National Championships 2019,02:26.38,21/02/2019,Men 200 Backstroke LCM Male,JAM,Jamaica,"THOMAS, Nathaniel",M,16/07/2004,,,26,26,446,Kingston,JAM
