meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Swimming Championships (25m) 2016,23.92,09/12/2016,Men 50 Butterfly SCM Male,JAM,Jamaica,"PLASCHKA, Justin",M,12/08/1996,,,1,1,756,Windsor,CAN
13th FINA World Swimming Championships (25m) 2016,24.29,07/12/2016,Men 50 Butterfly SCM Male,JAM,Jamaica,"PLASCHKA, Justin",M,12/08/1996,,,2,2,722,Windsor,CAN
12th FINA World Swimming Championships (25m) 2014,25.28,05/12/2014,Men 50 Butterfly SCM Male,JAM,Jamaica,"CAMPBELL, Nico",M,21/06/1997,,,3,3,641,Doha,QAT
13th FINA World Swimming Championships (25m) 2016,25.58,09/12/2016,Men 50 Butterfly SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,4,4,618,Windsor,CAN
11th FINA World Swimming Championships (25m) 2012,25.74,14/12/2012,Men 50 Butterfly SCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,5,5,607,Istanbul,TUR
12th FINA World Swimming Championships (25m) 2014,25.89,05/12/2014,Men 50 Butterfly SCM Male,JAM,Jamaica,"ATKINSON, Jevon",M,03/04/1984,,,6,6,596,Doha,QAT
13th FINA World Swimming Championships (25m) 2016,26.05,07/12/2016,Men 50 Butterfly SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,7,7,586,Windsor,CAN
11th FINA World Swimming Championships (25m) 2012,26.24,12/12/2012,Men 50 Butterfly SCM Male,JAM,Jamaica,"WYNTER, Timothy",M,16/01/1996,,,8,8,573,Istanbul,TUR
12th FINA World Swimming Championships (25m) 2014,26.34,03/12/2014,Men 50 Butterfly SCM Male,JAM,Jamaica,"CAMPBELL, Nico",M,21/06/1997,,,9,9,566,Doha,QAT
BUCS (25m),26.46,17/11/2019,Men 50 Butterfly SCM Male,JAM,Jamaica,"GUNNING, Luke",M,03/09/1997,,,10,10,555,Sheffield,GBR
FINA Swimming World Cup 2005-2006,26.67,03/02/2006,Men 50 Butterfly SCM Male,JAM,Jamaica,"FORTE, Travis",M,,,,11,11,,New York,USA
7th FINA World Swimming Championships (25m) 2004,26.71,09/10/2004,Men 50 Butterfly SCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,12,12,,Indianapolis,USA
13th FINA World Swimming Championships (25m) 2016,26.87,06/12/2016,Men 50 Butterfly SCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,13,13,534,Windsor,CAN
FINA Swimming World Cup 2005-2006,27.32,04/02/2006,Men 50 Butterfly SCM Male,JAM,Jamaica,"FORTE, Travis",M,,,,14,14,,New York,USA
BUCS (25m),27.65,16/11/2019,Men 50 Butterfly SCM Male,JAM,Jamaica,"GUNNING, Luke",M,03/09/1997,,,15,15,486,Sheffield,GBR
FINA Swimming World Cup 2004-2005,28.06,11/02/2005,Men 50 Butterfly SCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,16,16,,New York,USA
FINA Swimming World Cup 2005-2006,28.37,03/02/2006,Men 50 Butterfly SCM Male,JAM,Jamaica,"FORTE, Travis",M,,,,17,17,,New York,USA
FINA Swimming World Cup 2004-2005,28.46,12/02/2005,Men 50 Butterfly SCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,18,18,,New York,USA
